"300"," Pamjatnik T. Shevchenko. 1939 g.","50.44175","30.51283","1","71","41"
"301"," Sofija Kievskaja Zapovednik","50.45261","30.51468","4","64","4"
"302"," Pamjatnik I. Kotljarevskomu 903 g.","49.58576","34.55453","1","91","18"
"303"," Belz Kuljt. Zapovednik","50.38137","24.01029","4","60","35"
"304"," Kuljt. Zapoved. U M. Korsuni-Shevchenkivsjkomu","49.41417","31.26752","4","69","10"
"305"," Usadjba Panasa Mirnogo 19-20 V.","49.57018","34.54817","1","3","10"
"306"," pamjatnik Mishke Japonchiku","47.59807","31.31388","1","57","50"
"307"," Hatinka Tarasa Shevchenka","50.4972","30.45549","1","77","3"
"308"," Sudakskaja Krepostj Arh. Zapovednik","44.8418","34.95748","1","96","3"
"309"," Prezidium An Ukraini","50.44482","30.51265","1","85","49"
"310"," Partizanskij Memorial Kolan-Bair","44.88774","34.38429","1","96","32"
"311"," Kolona Magdeburzjkogo prava (kam.) 1892 - 1808 gg.","50.45618","30.52964","1","38","37"
"312"," Bogdanovka (Koncentracionnij Lagerj) 1941 G.","47.81404","31.1554","1","37","32"
"313"," Horticja Zapovednik","47.8323","35.07482","4","51","23"
"314"," Pedagogicheskij Muzej. 20 V.","50.44476","30.51332","2","49","55"
"315"," Chigirin Kuljt. Zapovednik","49.06412","32.67753","4","49","57"
"316"," Kerch Kuljt. Zapovednik","45.30919","36.608","4","58","13"
"317"," Hata Chornovola","49.03327","30.87568","1","26","51"
"318"," Verhnij Saltiv Arh. Muzej-Zapovednik","50.124","36.80211","4","12","54"
"319"," Getjmansjka Stolicja Kuljt. Zapovednik","51.34395","32.88286","4","32","8"
"320"," Mesce Zagibeli V`Jacheslava Chornovola","50.30056","30.99222","1","53","26"
"321"," Perejaslav Etnograf. Zapovednik","50.05955","31.48051","4","20","13"
"322"," Tustanj Kuljt. Zapovednik","49.1909","23.40912","4","52","52"
"323"," Volodimir Kuljt. Zapovednik","50.84818","24.32209","4","36","41"
"324"," Pamjatnik ekipazhu bronepoizda Tarashtanecj. 1974 g.","50.42837","30.6545","1","13","16"
"325"," Pam'jatnik Volodimiru ivasjuku","48.43944","25.76167","1","44","10"
"326"," pamjatnik sv.Nikolaju","46.97223","31.9919","1","64","57"
"327"," Monument Nezalezhnosti 2001g.","50.4496","30.52535","1","100","45"
"328"," Lichakevsjkij Cvintar Kuljt. Zapovednik","49.83372","24.05195","1","43","51"
"329"," Kamenj na chestj Zmiivih valiv","50.00972","30.51944","1","50","37"
"330"," Muzej-Zapovednik Goncharstva","49.95913","34.59875","2","70","29"
"331"," Dom gde zhil L. I. Brezhnev","47.81546","35.18299","1","80","13"
"332"," Pamjatnik Ekaterine II","44.95197","34.105","1","16","3"
"333"," Pamjatnik drevljanskomu knjazju Malu","50.94776","28.64888","1","5","2"
"334"," Pamjatnik A. Suvorovu 1913 g.","45.34014","28.83455","1","38","14"
"335"," Pamjatnik krestjjanam  osushavshim bolota","49.61917","31.44445","1","10","23"
"336"," Dom v kotorom zhil T. G. Shevchenko","50.45104","30.52023","1","27","13"
"337"," Usadjba Kotljarevskogo  18 V.","49.58182","34.56833","1","83","46"
"338"," Pamjatnik osnovatelju Vilkovo","45.39766","29.58171","1","83","39"
"339"," Kam'jana Mogila Arh. Zapovednik","46.94971","35.46852","4","46","22"
"340"," Kam'janecj Arhit. Zapovednik","48.67924","26.5805","4","62","52"
"341"," Pamjatnik M. Grushevsjkomu. 1998 g.","50.44408","30.51285","1","82","56"
"342"," Memorialjnaja Doska O. Bendera","46.47763","30.73808","1","50","52"
"343"," Monument Slavi 1811g.","49.58952","34.55149","1","62","3"
"344"," Monument Legendarnaja tachanka 1967 g.","46.79886","33.51732","1","21","21"
"345"," Usadjba V. Korolenka  19-20 V","49.57768","34.55853","1","89","34"
"346"," Urochishte Holodnij Jar","49.1704","32.38125","1","63","44"
"347"," Zolochivsjkij Zamok Muzej-Zapovednik","49.80028","24.90586","4","99","15"
"348"," Bitva Za Kiev V 1943 G Muzej-Zapovednik","50.62492","30.41958","4","14","43"
"349"," Konotopskaja Bitva 1659 G.","51.17077","33.09694","1","89","51"
"350"," Pamjatnij znak pro znesennja panjshtini 1848r.","49.66854","23.07409","1","7","40"
"351"," Memorialjnij kompleks pam'jati zhertv Golodomoriv v Ukraini","50.43778","30.55278","1","46","38"
"352"," Kollegija Pavla Galagana. 19 V.","50.44525","30.51712","1","27","11"
"353"," Kinostudija Im. Dovzhenko. 1928 G.","50.45432","30.44969","1","35","55"
"354"," Pamjjatnik Zhertvam komunistichnih represij","49.42213","26.99044","1","25","45"
"355"," Pamjatnik N. Gogolju 1915 g.","49.58503","34.55632","1","19","5"
"356"," Hersones Tavrijskij Zapovednik","50.52924","31.25632","4","28","31"
"357"," Kuljt. Zapovednik V G. Vishgorod","50.5836","30.4924","4","4","13"
"358"," Pamjatnik pchele","48.45515","23.52204","1","79","1"
"359"," Chernigiv Starodavnij Arh. Zapovednik","51.49096","31.30381","4","56","32"
"360"," Dom v kotorom zhil N. Lisenko","50.43963","30.5007","1","75","38"
"361"," Arhit. Zapovednik U M. Berezhanah","49.44483","24.93696","4","92","41"
"362"," Istor-Arh. Zapovednik V G. Ljvov","49.84184","24.03168","4","15","26"
"363"," 1937 Rasstreljnij Podval N.K.V.D.","47.8156","35.18083","1","33","36"
"364"," Pamjatnik Kornilovu. 1895 g.","44.60333","33.54805","1","86","29"
"365"," Mesto Venchanija Onore De Baljzaka","49.89316","28.58841","1","26","19"
"366"," Pamjatnik Dzhonu Govardu (kam.) 1827 g","46.64836","32.61026","1","56","17"
"367"," Pamjatnik Rishelje 1826 g.","46.48815","30.7411","1","55","1"
"368"," Kuljt. Zapovednik U M. Kam'janci","49.03305","32.09929","4","5","34"
"369"," Pamjatnik P. Sagajdachnomu 2001 g.","50.46307","30.51878","1","27","57"
"370"," Pamjatnik A. Pushkinu 1962 g.","50.45357","30.4532","1","60","54"
"371"," Busha Kuljt. Zapovednik","48.34038","28.11154","4","99","15"
